Gene stable ID	Arabidopsis thaliana gene stable ID	Arabidopsis thaliana gene name	Arabidopsis thaliana homology type	Arabidopsis thaliana orthology confidence [0 low, 1 high]	Arabidopsis eFP
Zm00001d002128	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G39540'>AT4G39540</a> 	SK2	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G39540'>Arabidopsis eFP: AT4G39540</a>
Zm00001d002128	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G21940'>AT2G21940</a> 	SK1	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G21940'>Arabidopsis eFP: AT2G21940</a>
Zm00001d002600	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G72590'>AT1G72590</a> 	PPRD1	ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G72590'>Arabidopsis eFP: AT1G72590</a>
Zm00001d002600	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G16530'>AT2G16530</a> 		ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G16530'>Arabidopsis eFP: AT2G16530</a>
Zm00001d004977	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G54290'>AT5G54290</a> 	CcdA	ortholog_one2one	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G54290'>Arabidopsis eFP: AT5G54290</a>
Zm00001d005539	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G26030'>AT5G26030</a> 	FC1	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G26030'>Arabidopsis eFP: AT5G26030</a>
Zm00001d007366	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G48420'>AT3G48420</a> 	CBBY	ortholog_one2one	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G48420'>Arabidopsis eFP: AT3G48420</a>
Zm00001d009941	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G02730'>AT2G02730</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G02730'>Arabidopsis eFP: AT2G02730</a>
Zm00001d009941	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G27000'>AT1G27000</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G27000'>Arabidopsis eFP: AT1G27000</a>
Zm00001d010009	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G67430'>AT1G67430</a> 	RPL17B	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G67430'>Arabidopsis eFP: AT1G67430</a>
Zm00001d010009	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G27400'>AT1G27400</a> 	RPL17A	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G27400'>Arabidopsis eFP: AT1G27400</a>
