Gene stable ID	Oryza sativa Japonica Group gene stable ID	Oryza sativa Japonica Group gene name	Oryza sativa Japonica Group homology type	Oryza sativa Japonica Group orthology confidence [0 low, 1 high]	OryzaID
Zm00001d002128	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os04g0640600'>Os04g0640600</a>		ortholog_one2one	1	Os04g0640600
Zm00001d002600	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os04g0576800'>Os04g0576800</a>		ortholog_many2many	1	Os04g0576800
Zm00001d002600	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os07g0493400'>Os07g0493400</a>		ortholog_many2many	1	Os07g0493400
Zm00001d003499	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os04g0450300'>Os04g0450300</a>		ortholog_one2one	1	Os04g0450300
Zm00001d004861	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os11g0160100'>Os11g0160100</a>		ortholog_one2one	0	Os11g0160100
Zm00001d004977	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os11g0140800'>Os11g0140800</a>		ortholog_one2many	1	Os11g0140800
Zm00001d004977	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os12g0137300'>Os12g0137300</a>		ortholog_one2many	1	Os12g0137300
Zm00001d005539	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os09g0297000'>Os09g0297000</a>		ortholog_one2many	1	Os09g0297000
Zm00001d007366	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os03g0565200'>Os03g0565200</a>		ortholog_one2one	1	Os03g0565200
Zm00001d008546	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os01g0131600'>Os01g0131600</a>		ortholog_one2one	1	Os01g0131600
Zm00001d009941	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os05g0182700'>Os05g0182700</a>		ortholog_one2many	1	Os05g0182700
Zm00001d010009	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os09g0258600'>Os09g0258600</a>		ortholog_one2many	1	Os09g0258600
Zm00001d011145	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os01g0550200'>Os01g0550200</a>		ortholog_one2many	1	Os01g0550200
Zm00001d012709	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os01g0757600'>Os01g0757600</a>		ortholog_one2many	1	Os01g0757600
Zm00001d013042	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os03g0806700'>Os03g0806700</a>		ortholog_one2many	1	Os03g0806700
Zm00001d014938	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os02g0104500'>Os02g0104500</a>		ortholog_one2many	1	Os02g0104500
Zm00001d015636	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os04g0547800'>Os04g0547800</a>		ortholog_one2many	0	Os04g0547800
Zm00001d015636	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os12g0563300'>Os12g0563300</a>		ortholog_one2many	0	Os12g0563300
Zm00001d015636	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os02g0189200'>Os02g0189200</a>		ortholog_one2many	0	Os02g0189200
Zm00001d018696	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os07g0119400'>Os07g0119400</a>		ortholog_one2one	0	Os07g0119400
Zm00001d019311	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os07g0249700'>Os07g0249700</a>		ortholog_one2one	1	Os07g0249700
Zm00001d021200	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os09g0521100'>Os09g0521100</a>		ortholog_one2one	1	Os09g0521100
Zm00001d021494	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os07g0483500'>Os07g0483500</a>		ortholog_one2many	1	Os07g0483500
Zm00001d023378	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os12g0145400'>Os12g0145400</a>		ortholog_many2many	0	Os12g0145400
Zm00001d023378	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os11g0148200'>Os11g0148200</a>		ortholog_many2many	0	Os11g0148200
