loc	plasticity	SNP	Co-localization with other Groups	P.value	maf	effect	trait	Chr.	Start	Stop	V4_Gene_Model	V3_Gene_Model	MapMan_Annotation	Maize_Functional_Annotation
AZ	WS	rs2_6411189		5.09435E-10	0.018181818	13.65650696	BF	2	6409519	6412809	Zm00001d002128	GRMZM2G004590	not assigned.unknown	Shikimate kinase
AZ	WS	rs2_229771601		3.8465E-08	0.442857143	-8.104952289	LL	2	229771464	229779665	Zm00001d007366	GRMZM2G094978	not assigned.unknown	Protein cbbY
AZ	WS	rs8_91082382		1.21438E-11	0.01038961	-22.07820695	BF	8	91082108	91093443	Zm00001d009941	GRMZM2G104133	RNA.regulation of transcription.bZIP transcription factor family	BZIP transcription factor bZIP109
AZ	WS	rs8_94988094		1.03821E-09	0.012987013	-18.49789001	BF	8	94987331	94992881	Zm00001d010009	GRMZM2G119169	not assigned.unknown	60S ribosomal protein L17
AZ	WS	rs8_140403416		5.53639E-13	0.01038961	-24.74766327	BF	8	140403097	140406939	Zm00001d011145	AC207342.3_FG007	protein.degradation.ubiquitin.E3.SCF.FBOX	F-box domain containing protein
AZ	WS	rs5_3621613		6.27427E-08	0.01038961	-13.54231244	BF	5	3621250	3622125	Zm00001d013042	GRMZM2G025164	not assigned.unknown	DUF868 domain containing protein
AZ	WS	rs5_202751412		7.22777E-08	0.345454545	-8.211866278	LL	5	202751395	202752915	Zm00001d017638	GRMZM2G081603	not assigned.unknown	DUF247 domain containing protein
AZ	WS	rs5_214694251		7.50E-11	0.480519481	9.997225764	LL	5	214694032	214695978	Zm00001d018119	GRMZM2G045883	"RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family"	Helix-loop-helix DNA-binding domain containing protein
AZ	WS	rs7_145766958		5.78777E-09	0.012987013	35.83703487	LL	7	145766119	145767552	Zm00001d021200	GRMZM2G020740	lipid metabolism.FA synthesis and FA elongation.beta ketoacyl CoA synthase	3-ketoacyl-CoA synthase
AZ	WS	rs10_140620042	PL	1.06283E-13	0.01038961	-19.58235198	BF	10	140619551	140620363	Zm00001d026191	GRMZM2G080516	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	Ethylene responsive protein
AZ	WS	rs1_8701768		1.64702E-11	0.031168831	-11.430867	BF	1	8701300	8702856	Zm00001d027599	GRMZM2G323830	misc.cytochrome P450	Cytochrome P450 family protein
AZ	WS	rs1_162456584		4.8928E-08	0.135064935	5.488139321	DISTLAT	1	162455095	162458202	Zm00001d030837	GRMZM2G048140	not assigned.unknown	Lipase
AZ	WS	rs1_224071462		3.49487E-08	0.28961039	-8.868008563	LL	1	224070486	224071572	Zm00001d032366	GRMZM2G101130	not assigned.unknown	Conserved gene of unknown function
AZ	WS	rs4_234742348		1.17978E-09	0.015584416	-12.00830803	BF	4	234742154	234742759	Zm00001d053568	GRMZM2G154505	not assigned.unknown	DUF3511 domain containing protein
AZ	WS	rs4_238377086		1.56973E-13	0.24025974	-2.863004953	ANGLE	4	238375990	238382185	Zm00001d053662	GRMZM2G030265	cell wall.degradation.pectate lyases and polygalacturonases	Exopolygalacturonase
AZ	WW	rs5_72640242		5.66E-10	0.18961039	-2.410406163	ANGLE	5	72637263	72641035	Zm00001d015020	GRMZM2G068277	not assigned.unknown	
