V4_Gene_Model	CONEKT_link	conekt_description
Zm00001d002128	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/176459'>Conekt: Zm00001d002128</a>	Amino acid metabolism.biosynthesis.shikimate...
Zm00001d002600	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/176851'>Conekt: Zm00001d002600</a>	Polyprenol reductase 1 OS=Oryza sativa subsp. indica
Zm00001d003499	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/177565'>Conekt: Zm00001d003499</a>	Protein degradation.peptide tagging.Ubiquitin...
Zm00001d004861	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/178496'>Conekt: Zm00001d004861</a>	
Zm00001d004977	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/178583'>Conekt: Zm00001d004977</a>	Photosynthesis.photophosphorylation.cytochrome b6/f...
Zm00001d005539	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/178975'>Conekt: Zm00001d005539</a>	Coenzyme metabolism.tetrapyrrol biosynthesis.heme...
Zm00001d007366	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/180384'>Conekt: Zm00001d007366</a>	Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat...
Zm00001d008546	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/181160'>Conekt: Zm00001d008546</a>	RNA biosynthesis.transcriptional activation.AP2/ERF...
Zm00001d009941	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/182175'>Conekt: Zm00001d009941</a>	
Zm00001d010009	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/182219'>Conekt: Zm00001d010009</a>	Protein biosynthesis.cytosolic ribosome.large subunit...
Zm00001d010048	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/182250'>Conekt: Zm00001d010048</a>	RNA biosynthesis.transcriptional activation.AP2/ERF...
Zm00001d011145	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/183082'>Conekt: Zm00001d011145</a>	F-box protein SKIP8 OS=Arabidopsis thaliana
Zm00001d011303	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/183200'>Conekt: Zm00001d011303</a>	
Zm00001d012709	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/184327'>Conekt: Zm00001d012709</a>	Multi-process regulation.Rop GTPase regulatory...
Zm00001d013042	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/184622'>Conekt: Zm00001d013042</a>	
Zm00001d014938	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/186096'>Conekt: Zm00001d014938</a>	RNA biosynthesis.transcriptional activation.Trihelix...
Zm00001d015020	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/186164'>Conekt: Zm00001d015020</a>	Cytoskeleton.microtubular network.microtubule Tubulin...
Zm00001d015636	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/186618'>Conekt: Zm00001d015636</a>	GDSL esterase/lipase At2g04570 OS=Arabidopsis thaliana
Zm00001d017638	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/188074'>Conekt: Zm00001d017638</a>	
Zm00001d018119	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/188465'>Conekt: Zm00001d018119</a>	RNA biosynthesis.transcriptional activation.bHLH...
Zm00001d018696	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/188937'>Conekt: Zm00001d018696</a>	L-ascorbate oxidase homolog OS=Nicotiana tabacum
Zm00001d019311	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/189410'>Conekt: Zm00001d019311</a>	Protein degradation.peptidase families.metallopeptidase...
Zm00001d021200	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/190737'>Conekt: Zm00001d021200</a>	Lipid metabolism.fatty acid synthesis.fatty acid...
