Gene stable ID	Arabidopsis thaliana gene stable ID	Arabidopsis thaliana gene name	Arabidopsis thaliana homology type	Arabidopsis thaliana orthology confidence [0 low, 1 high]	Arabidopsis eFP
Zm00001d002128	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT4G39540&type=locus'>AT4G39540</a> 	SK2	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G39540'>Arabidopsis eFP: AT4G39540</a>
Zm00001d002128	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT2G21940&type=locus'>AT2G21940</a> 	SK1	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G21940'>Arabidopsis eFP: AT2G21940</a>
Zm00001d002600	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT1G72590&type=locus'>AT1G72590</a> 	PPRD1	ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G72590'>Arabidopsis eFP: AT1G72590</a>
Zm00001d002600	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT2G16530&type=locus'>AT2G16530</a> 		ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G16530'>Arabidopsis eFP: AT2G16530</a>
Zm00001d004977	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT5G54290&type=locus'>AT5G54290</a> 	CcdA	ortholog_one2one	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G54290'>Arabidopsis eFP: AT5G54290</a>
Zm00001d005539	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT5G26030&type=locus'>AT5G26030</a> 	FC1	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G26030'>Arabidopsis eFP: AT5G26030</a>
Zm00001d007366	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT3G48420&type=locus'>AT3G48420</a> 	CBBY	ortholog_one2one	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G48420'>Arabidopsis eFP: AT3G48420</a>
Zm00001d009941	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT2G02730&type=locus'>AT2G02730</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G02730'>Arabidopsis eFP: AT2G02730</a>
Zm00001d009941	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT1G27000&type=locus'>AT1G27000</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G27000'>Arabidopsis eFP: AT1G27000</a>
Zm00001d010009	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT1G67430&type=locus'>AT1G67430</a> 	RPL17B	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G67430'>Arabidopsis eFP: AT1G67430</a>
Zm00001d010009	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT1G27400&type=locus'>AT1G27400</a> 	RPL17A	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G27400'>Arabidopsis eFP: AT1G27400</a>
Zm00001d010048	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT5G05410&type=locus'>AT5G05410</a> 	DREB2A	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G05410'>Arabidopsis eFP: AT5G05410</a>
Zm00001d010048	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT3G11020&type=locus'>AT3G11020</a> 	DREB2B	ortholog_one2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G11020'>Arabidopsis eFP: AT3G11020</a>
Zm00001d013042	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT5G28150&type=locus'>AT5G28150</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G28150'>Arabidopsis eFP: AT5G28150</a>
Zm00001d013042	<a target='_blank'  href='https://www.arabidopsis.org/servlets/TairObject?name=AT3G04860&type=locus'>AT3G04860</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G04860'>Arabidopsis eFP: AT3G04860</a>
